name,is_animated,source_width,source_height,resized_width,resized_height,crop_top,crop_bottom,crop_left,crop_right,output_width,output_height,frame_count,duration_s,is_loop,released_on,discontinued_on,notes
gununu,0,107,80,107,80,0,0,0,0,107,80,,,,2012-12-16,,
facepalm,0,80,80,80,80,0,0,0,0,80,80,,,,2015-02-13,,
gendo-pls,0,171,114,171,114,0,0,0,0,171,114,,,,2015-02-13,,
k-on-hug,0,179,120,179,120,0,0,0,0,179,120,,,,2015-02-13,,
kukuku,0,320,481,100,150,0,0,0,0,100,150,,,,2015-02-13,,
lewd,0,100,150,100,150,0,0,0,0,100,150,,,,2015-02-13,,
mandom,1,298,375,150,189,0,2,0,0,150,187,14,0.92,0,2015-02-13,2019-08-07,
nanami-hug,0,120,150,120,150,0,0,0,0,120,150,,,,2015-02-13,,
nico-heart,0,1160,998,150,129,0,0,0,0,150,129,,,,2015-02-13,,
stare,0,150,100,150,100,0,0,0,0,150,100,,,,2015-02-13,,
thumbs-up,0,120,100,120,100,0,0,0,0,120,100,,,,2015-02-13,,
what,0,100,80,100,80,0,0,0,0,100,80,,,,2015-02-13,2019-08-07,
yui-crying,0,78,80,78,80,0,0,0,0,78,80,,,,2015-02-13,,
araragi-1,0,1267,633,100,50,0,0,0,0,100,50,,,,2015-02-17,,
deadpan,0,572,611,79,85,0,0,0,0,79,85,,,,2015-02-17,2019-08-07,
glasses-push,0,178,100,178,100,0,2,0,0,178,98,,,,2015-02-17,,
head-tilt,0,1307,1080,121,100,0,0,0,0,121,100,,,,2015-02-17,,
heart-thumbs-up,0,640,810,79,100,0,0,0,0,79,100,,,,2015-02-17,,
kotori,0,774,810,85,89,0,0,0,0,85,89,,,,2015-02-17,,
manly-tears,0,1080,720,150,100,0,0,0,0,150,100,,,,2015-02-17,,
not-raining,0,1121,768,146,100,0,0,0,0,146,100,,,,2015-02-17,,
ohmygod,0,655,374,175,100,0,0,0,0,175,100,,,,2015-02-17,2019-08-07,
shock,0,1209,712,170,100,0,0,0,0,170,100,,,,2015-02-17,,
wow-really,0,506,536,80,85,0,0,0,0,80,85,,,,2015-02-17,,
bot-chan,0,120,148,120,148,0,0,0,0,120,148,,,,2015-02-20,,
chitogheh,0,1280,717,178,100,0,2,0,0,178,98,,,,2015-05-31,,
happydera,0,981,552,178,100,0,2,0,0,178,98,,,,2015-05-31,,
ohnoudidnt,0,1213,681,178,100,0,2,0,0,178,98,,,,2015-05-31,2019-08-07,
teehee,0,301,241,155,124,0,2,0,0,155,122,,,,2015-06-07,,
anko,1,500,280,191,107,0,2,0,0,191,105,15,1.8,0,2015-06-26,,
banjo,1,640,360,191,107,0,2,0,0,191,105,12,1.57,0,2015-06-26,,
excitedyui,1,438,590,122,164,0,2,0,0,122,162,8,0.8,1,2015-06-26,,
hyoukawink,1,500,319,191,122,0,2,0,0,191,120,12,1.8,0,2015-06-26,,
peasants,1,534,301,190,107,0,2,0,0,190,105,9,1.54,0,2015-06-26,,
urbansmile,1,600,336,191,107,0,2,0,0,191,105,25,1.46,0,2015-06-26,,
akyuusqueel,0,601,575,129,123,0,2,0,0,129,121,,,,2015-07-10,,
annoyedkirito,0,503,325,178,115,0,2,0,0,178,113,,,,2015-07-10,,
arakawascream,0,143,119,143,119,0,2,0,0,143,117,,,,2015-07-10,2019-08-07,
asunanotamused,0,125,120,125,120,0,2,0,0,125,118,,,,2015-07-10,2019-08-07,
badassmugi,0,1024,576,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
banjoisahellofadrug,0,178,100,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
barakamonnotcool,0,178,100,178,100,0,2,0,0,178,98,,,,2015-07-10,,
bearhug,0,1366,768,178,100,0,2,0,0,178,98,,,,2015-07-10,,
bearwithme,0,178,100,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
bestiacheckyourprivilage,0,832,720,123,106,0,0,0,0,123,106,,,,2015-07-10,2019-08-07,
bestiathumbsup,0,178,135,178,135,0,2,0,0,178,133,,,,2015-07-10,2019-08-07,
biribiricat,0,1280,720,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
chiyomad,0,178,100,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
comewithmeifyouwanttobebestgirl,0,178,100,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
crazedlaugh,0,178,121,178,121,0,2,0,0,178,119,,,,2015-07-10,,
crazyhatgirlexcited,0,178,100,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
csikon,0,997,559,178,100,0,2,0,0,178,98,,,,2015-07-10,,
cup1,0,178,126,178,126,0,2,0,0,178,124,,,,2015-07-10,2019-08-07,
cup2,0,680,383,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
disbelief,0,125,121,125,121,0,2,0,0,125,119,,,,2015-07-10,,
dontdometh,0,143,98,143,98,0,2,0,0,143,96,,,,2015-07-10,2019-08-07,
duckhue,0,143,124,143,124,0,2,0,0,143,122,,,,2015-07-10,2019-08-07,
elsieqq,0,178,100,178,100,0,2,0,0,178,98,,,,2015-07-10,,
embarassedisla,0,178,100,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
etotamadunno,0,696,678,150,146,0,0,0,0,150,146,,,,2015-07-10,,
flclawe,0,450,340,178,135,0,2,0,0,178,133,,,,2015-07-10,2019-08-07,
gintamacrushed,0,178,100,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
gintamaspillage,0,1280,945,178,131,0,2,0,0,178,129,,,,2015-07-10,2019-08-07,
gintamasunlight,0,1280,720,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
gintamathispleasesme,0,143,143,143,143,0,2,0,0,143,141,,,,2015-07-10,,
hanasakueurgh,0,512,288,178,100,0,2,0,0,178,98,,,,2015-07-10,,
happypoi,0,143,144,143,144,0,2,0,0,143,142,,,,2015-07-10,2019-08-07,
haruhiisnotamused,0,178,100,178,100,0,2,0,0,178,98,,,,2015-07-10,,
hisokaclown,0,843,473,178,100,0,2,0,0,178,98,,,,2015-07-10,2019-08-07,
holdme,0,1867,1048,178,100,0,2,0,0,178,98,,,,2015-07-10,,
hunchedover,0,178,143,178,143,0,2,0,0,178,141,,,,2015-07-10,2019-08-07,
hypeoverload,0,125,152,125,152,0,2,0,0,125,150,,,,2015-07-10,,
infernocopu,0,256,256,125,125,0,2,0,0,125,123,,,,2015-07-10,2019-08-07,
izananotthisshitagain,0,125,137,125,137,0,2,0,0,125,135,,,,2015-07-10,2019-08-07,
